code,name,regioFacet,level,url,name_norm,centroid_geom,centroid_lon,centroid_lat,municipality_final_v8,province_final_v8,midwest_subregion_v8,water_count,bad_entry_count,high_conf_count,night_allowed_count,night_restricted_count,night_not_allowed_count,shelter_allowed_count,shelter_restricted_count,shelter_not_allowed_count,third_rod_allowed_count,third_rod_restricted_count,third_rod_not_allowed_count,pc4_count,authority_count,species_hint,midwest_focus_v8,mapbox_feature_id_v8,map_title_v8,map_subtitle_v8,layer_type_v8
0262,Lochem,tcm:106-353472-1024,4,/regioinformatie/gemeente/lochem/,lochem,POINT (6.346666283140654 52.17947006985145),6.346666283140654,52.17947006985145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::lochem,Lochem,,municipality_polygon
0263,Maasdriel,tcm:106-353473-1024,4,/regioinformatie/gemeente/maasdriel/,maasdriel,POINT (5.296806504253389 51.776245355115044),5.296806504253389,51.776245355115044,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::maasdriel,Maasdriel,,municipality_polygon
1955,Montferland,tcm:106-353475-1024,4,/regioinformatie/gemeente/montferland/,montferland,POINT (6.213884949294069 51.916967082865106),6.213884949294069,51.916967082865106,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::montferland,Montferland,,municipality_polygon
1740,Neder-Betuwe,tcm:106-353476-1024,4,/regioinformatie/gemeente/neder-betuwe/,neder betuwe,POINT (5.586839956548625 51.91580984827291),5.586839956548625,51.91580984827291,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::neder-betuwe,Neder-Betuwe,,municipality_polygon
0304,Neerijnen,tcm:106-353477-1024,4,/regioinformatie/gemeente/neerijnen/,neerijnen,POINT (5.283088690927454 51.83538714267858),5.283088690927454,51.83538714267858,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::neerijnen,Neerijnen,,municipality_polygon
0267,Nijkerk,tcm:106-353478-1024,4,/regioinformatie/gemeente/nijkerk/,nijkerk,POINT (5.484372398634658 52.21214665667199),5.484372398634658,52.21214665667199,,,midwest-oost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,municipality::nijkerk,Nijkerk,,municipality_polygon
0268,Nijmegen,tcm:106-353479-1024,4,/regioinformatie/gemeente/nijmegen/,nijmegen,POINT (5.836467888941969 51.83850720841056),5.836467888941969,51.83850720841056,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::nijmegen,Nijmegen,,municipality_polygon
0302,Nunspeet,tcm:106-353480-1024,4,/regioinformatie/gemeente/nunspeet/,nunspeet,POINT (5.786111975237987 52.33915683438413),5.786111975237987,52.33915683438413,,,midwest-oost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,municipality::nunspeet,Nunspeet,,municipality_polygon
0269,Oldebroek,tcm:106-353481-1024,4,/regioinformatie/gemeente/oldebroek/,oldebroek,POINT (5.936967829787518 52.45675571818957),5.936967829787518,52.45675571818957,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::oldebroek,Oldebroek,,municipality_polygon
1586,Oost Gelre,tcm:106-353482-1024,4,/regioinformatie/gemeente/oost-gelre/,oost gelre,POINT (6.57563718431098 52.00959769695327),6.57563718431098,52.00959769695327,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,municipality::oost-gelre,Oost Gelre,,municipality_polygon
